start_date,end_date,progress,duration_in_seconds,finished,recorded_date,iraq_fair_r,iraq_wealthy_privilege,iraq_angry,iraq_corrupt,iraq_happy_r,bailouts_fair_r,bailouts_wealthy_privilege,bailouts_angry,bailouts_corrupt,bailouts_happy_r,offshore_fair_r,offshore_wealthy_privilege,offshore_angry,offshore_corrupt,offshore_happy_r,covid_19_relief_fair_r,covid_19_relief_wealthy_privilege,covid_19_relief_angry,covid_19_relief_corrupt,covid_19_relief_happy_r,large_corps_fair_r,large_corps_wealthy_privilege,large_corps_angry,large_corps_corrupt,large_corps_happy_r,charity_fair_r,charity_wealthy_privilege,charity_angry,charity_corrupt,charity_happy_r,gov_response_overall_safe_r,gov_response_overall_suffering,gov_response_overall_concern_r,gov_response_overall_protect_jobs_r,gov_response_overall_generous_r,community_response_safe_r,community_response_suffering,community_response_concern_r,community_response_help_those_in_need_r,community_response_generous_r,idealism_community_dishonest_r,idealism_community_considerate,idealism_community_good,idealism_community_positive,idealism_community_right,idealism_community_included,idealism_elites_dishonest_r,idealism_elites_considerate,idealism_elites_good,idealism_elites_positive,idealism_elites_right,idealism_elites_included,idealism_police_dishonest_r,idealism_police_considerate,idealism_police_good,idealism_police_positive,idealism_police_right,idealism_police_included,pre_video_sympathy_blm,pre_video_anger_blm_r,pre_video_participate_blm_protests,pre_video_wish_participated,pre_video_wish_blue_r,pre_video_donations_support_blm,pre_video_donations_oppose_blm_r,pre_video_social_media_support_blm,pre_video_social_media_criticize_blm_r,q_104_first_click,q_104_last_click,q_104_page_submit,q_104_click_count,elevation_want_to_help,elevation_feel_close,elevation_better_person,elevation_find_ways_to_help,elevation_warmth,elevation_lump,elevation_tears,elevation_goosebumps,elevation_uplifted,elevation_moved,elevation_touched,elevation_inspired,elevation_compassion,elevation_admiration,elevation_heartwarming,positive_affect_happy,positive_affect_entertained,positive_affect_amused,positive_affect_delighted,afraid_of_protestors,afraid_of_police,angry_at_protestors,angry_at_police,post_video_sympathy_blm,post_video_anger_blm_r,post_video_plan_to_participate_blm_protests,post_video_wish_participate,post_video_wish_blue_r,post_video_donations_support_blm,post_video_donations_oppose_blm_r,post_video_social_media_support_blm,post_video_social_media_criticize_blm_r,effectiveness_of_blm_post,police_funding,tactic_looting,tactic_burn_stations,tactic_loud_chants,tactic_block_traffic,tactic_gathering,ii_m_bombcities,ii_r_e_welfare,ii_e_taxcuts,ii_r_m_guncontrol,ii_m_militaryspending,ii_m_warantlesssearch,ii_r_e_pollutioncontrol,ii_r_e_foreignaid,ii_r_s_womenequality,ii_m_obedience,ii_r_m_enemycompromise,ii_m_nukes,ii_m_drones,ii_s_charterschools,ii_s_prayer,ii_r_m_pacifism,ii_r_e_socialism,ii_r_s_porn,ii_r_m_immigration,ii_s_deathpenalty,ii_m_waterboard,ii_r_s_premaritalsex,ii_r_s_gaymarriage,ii_r_s_abortion,ii_r_s_evolution,ii_m_patriotism,ii_s_bibletruth,ii_r_e_globalization,ii_e_smallgovernment,covid_experience_bored,covid_experience_frustrated,covid_experience_lonely,covid_experience_angry,covid_experience_happy_r,race_ethnicity_origin,race_ethnicity_origin_text,age,pol_parties,pol_parties_text,community_description,gender,gender_text,catch_sky_color,income,education,direct_connection_bl,direct_connection_ra,direct_connection_po,direct_connection_el,catch_distractions,catch_video_stream,catch_honesty,random_id,vid_time,bad_policy_iraq,bad_policy_bailouts,bad_policy_offshore,bad_policy_covid19_relief,bad_policy_corps,bad_policy_charity,bad_policy_gov,bad_policy_community,idealism_community,idealism_elites,idealism_police,idealism_all,blm_support_t1,blm_support_t2,positive_affect,elevation,somatic,prosocial_motives,folk_affect,tactics,conservativism_social,conservativism_military,conservativism_economic,conservativism_overall,condition,parties,major_parties
2020-06-24T12:25:24Z,2020-06-24T12:31:49Z,100,385,1,2020-06-24T12:31:50Z,1,7,7,7,1,1,7,7,7,1,1,7,7,7,1,1,1,7,7,1,1,7,7,7,1,7,1,1,1,7,1,7,2,2,2,1,7,1,1,1,6,2,2,2,2,2,7,1,1,1,1,1,1,7,7,7,7,7,5,1,1,1,1,1,1,1,1,0,0,103.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,4,1,1,1,1,1,1,1,1,25,1,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,7,NA,33,1,NA,4,2,NA,3,8,5,1,1,1,1,3,1,1,223081,103.958,7,7,7,5.8,7,1,6.4,7,2,1,7,3.3333333333333335,3.2222222222222223,2.5555555555555554,0,0,0,0,0,1.8,0,0,0,0,BLM,Republican,Republican
2020-06-24T12:25:30Z,2020-06-24T12:32:32Z,100,422,1,2020-06-24T12:32:32Z,1,7,7,7,1,1,7,7,7,1,1,7,7,7,1,1,7,7,7,1,1,7,7,7,1,6,3,1,2,6,3,7,1,1,1,6,2,5,6,6,1,6,6,5,6,6,7,1,1,1,1,1,7,1,1,1,1,1,5,1,1,1,1,1,1,1,1,4.001,13.26,101.998,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,5,1,1,1,1,1,1,1,1,1,-89,5,5,5,5,5,-1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,2,2,2,2,2,4,NA,36,2,NA,5,2,NA,3,4,3,2,5,1,1,3,1,1,289477,101.998,7,7,7,7,7,2,6.6,2.2,6,1,1,2.6666666666666665,3.2222222222222223,3.2222222222222223,0.25,0.06666666666666667,0,0,0.14285714285714285,5,-0.8,-0.8333333333333334,-0.42857142857142855,-0.7241379310344828,BLM,Democrat,Democrat
2020-06-24T12:26:22Z,2020-06-24T12:34:20Z,100,477,1,2020-06-24T12:34:20Z,1,7,7,7,1,1,7,7,7,1,1,7,5,4,2,1,7,4,4,4,1,7,7,7,1,4,3,1,1,5,1,7,1,1,1,6,1,5,6,6,1,4,4,4,4,4,7,1,1,1,1,1,7,3,1,3,4,3,4,1,1,4,1,3,1,4,1,5.942,17.524,103.766,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,1,0,0,1,0,0,0,3,4,1,3,4,1,4,1,4,1,3,78,1,1,5,5,4,-1,1,0,1,-1,-1,1,1,1,-1,0,-1,1,-1,-1,0,1,1,1,-1,-1,1,1,1,1,1,-1,0,-1,1,1,1,1,1,7,NA,32,2,NA,2,1,NA,3,9,5,3,3,1,2,3,1,1,929650,103.766,7,7,5.8,5.2,7,2.4,7,2,4.5,1,2.5,2.6666666666666665,4,4.333333333333333,0.5,2.8666666666666667,2.5,3,3,3.2,-1,-0.5,-0.7142857142857143,-0.7241379310344828,BLM,Democrat,Democrat
2020-06-24T12:27:03Z,2020-06-24T12:34:21Z,100,437,1,2020-06-24T12:34:21Z,4,5,3,3,4,1,5,5,5,1,6,5,6,5,1,1,7,7,7,1,3,4,4,4,3,1,1,6,6,1,5,5,4,5,5,6,3,5,5,5,2,6,6,6,6,6,5,3,4,4,4,3,2,6,6,6,6,6,3,1,1,1,1,1,1,1,1,7.275,7.275,103.078,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,1,1,1,1,1,1,1,1,1,-72,1,1,3,1,1,-1,-1,1,-1,0,-1,0,-1,1,0,0,-1,1,0,-1,-1,-1,1,-1,0,1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,4,7,NA,39,1,NA,2,2,NA,3,6,6,1,2,2,1,3,1,1,134479,103.078,3.8,5.8,5,7,4.4,5.4,3.6,2.8,6,3.5,6,5.166666666666667,3,3,0,0.13333333333333333,0,0,0.2857142857142857,1.4,-0.4,0.25,0.8571428571428571,0.1724137931034483,BLM,Republican,Republican
2020-06-24T12:25:38Z,2020-06-24T12:34:31Z,100,532,1,2020-06-24T12:34:32Z,1,7,7,7,1,1,7,6,6,1,3,5,5,4,1,7,7,7,7,1,2,6,3,6,2,5,3,1,2,4,1,7,1,1,1,2,5,2,3,3,2,3,3,4,3,3,7,1,1,1,1,1,6,2,3,2,3,2,5,1,3,4,1,2,1,3,1,2.39,3.459,103.461,2,2,2,2,2,0,0,0,0,1,2,2,2,3,2,2,2,1,0,0,0,0,0,2,5,1,3,4,1,2,1,3,1,2,-100,5,1,5,5,5,-1,1,-1,1,-1,-1,1,1,1,-1,1,-1,-1,0,-1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,1,2,2,1,1,3,7,NA,41,2,NA,4,2,NA,3,8,3,1,1,1,1,3,1,1,895192,103.461,7,6.6,5.2,5.8,5.4,2.6,7,5.4,3.6666666666666665,1,2.3333333333333335,2.3333333333333335,4.111111111111111,4.111111111111111,0.75,1.4666666666666666,0,2,2,4.2,-0.9,-1,-0.42857142857142855,-0.8275862068965517,BLM,Democrat,Democrat
2020-06-24T12:25:33Z,2020-06-24T12:34:52Z,100,558,1,2020-06-24T12:34:52Z,3,4,5,5,2,4,7,5,4,3,2,7,7,6,2,4,7,3,6,5,2,7,7,6,2,7,1,1,1,7,1,7,2,6,4,4,4,4,4,4,2,6,6,6,6,6,5,1,1,1,1,1,4,3,3,4,3,3,5,1,2,5,1,1,1,3,1,7.492,7.492,104.315,1,3,3,3,3,2,1,1,1,2,2,2,2,3,3,2,1,2,1,1,0,0,0,2,5,1,2,5,1,2,1,3,1,3,-75,1,1,5,4,4,-1,1,0,1,0,-1,1,1,1,0,1,-1,-1,-1,-1,0,0,-1,1,-1,-1,-1,1,1,1,1,0,1,-1,2,2,2,2,4,7,NA,35,2,NA,2,1,NA,3,6,8,5,4,2,2,3,1,1,257039,104.315,5,5,6.4,4.6,6.4,1,5.2,4,6,1.3333333333333333,3.3333333333333335,3.5555555555555554,4,4.111111111111111,1.25,2.2,1.25,3,2.2857142857142856,3,-0.5,-0.5833333333333334,-0.7142857142857143,-0.5862068965517241,BLM,Democrat,Democrat
2020-06-24T12:25:26Z,2020-06-24T12:35:09Z,100,583,1,2020-06-24T12:35:09Z,1,7,6,7,1,3,5,5,5,5,4,7,2,3,4,2,6,5,3,2,3,7,5,5,3,4,3,3,3,4,1,7,1,1,1,4,4,4,4,4,2,4,4,5,5,4,5,2,2,2,2,2,2,5,5,5,5,5,5,2,1,5,1,2,1,3,1,90.487,90.487,106.706,1,3,3,3,3,1,2,0,1,3,3,3,3,3,3,3,0,0,0,0,0,1,0,2,5,2,3,5,1,2,1,5,1,3,-21,1,1,5,2,2,-1,1,-1,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,0,-1,0,-1,4,4,4,2,3,47,NA,45,2,NA,2,1,NA,3,3,5,4,4,2,2,3,1,1,566084,106.706,6.8,4.6,4,5.2,5.4,3.4,7,4,4.666666666666667,2.1666666666666665,5.166666666666667,4,3.888888888888889,4.333333333333333,0,2.466666666666667,1,3,3,2.2,-1,-0.9166666666666666,-0.8571428571428571,-0.9310344827586207,BLM,Democrat,Democrat
2020-06-24T12:26:02Z,2020-06-24T12:35:42Z,100,579,1,2020-06-24T12:35:42Z,5,6,4,4,2,4,5,2,4,3,1,5,2,2,4,2,7,6,7,2,2,7,2,5,4,4,2,1,2,5,1,5,1,1,1,2,5,3,4,4,1,5,6,5,6,5,2,2,4,1,4,3,1,7,7,7,7,7,3,2,1,1,1,1,1,2,1,12.314,75.669,108.143,3,1,0,1,0,0,1,0,0,0,1,1,0,2,1,1,1,1,0,0,0,0,0,0,4,2,1,1,1,1,1,3,1,4,-20,1,1,4,2,2,0,1,-1,1,1,-1,1,1,1,0,1,-1,0,0,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,2,3,2,1,4,67,NA,50,0,NA,4,2,NA,3,11,7,1,1,1,1,3,1,1,849237,108.143,4.6,4,4,6.4,4.8,2.4,6.6,4.8,5.666666666666667,3.3333333333333335,7,5.333333333333333,3,3.2222222222222223,0.5,0.6,0.25,0.5,0.8571428571428571,2,0.3,-0.25,-0.7142857142857143,-0.1724137931034483,BLM,Independent,Independent
2020-06-24T12:27:38Z,2020-06-24T12:36:07Z,100,508,1,2020-06-24T12:36:07Z,1,4,4,4,1,4,6,4,6,4,1,6,3,3,2,4,1,2,2,3,2,6,5,6,1,5,1,1,1,6,2,6,2,2,2,2,6,2,4,4,2,4,5,5,5,5,3,4,4,4,4,3,5,2,2,2,2,2,5,1,3,3,3,2,1,3,1,7.619,8.659,105.001,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,5,1,3,3,1,3,1,3,1,2,-41,1,1,5,4,5,-1,1,0,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,0,1,3,1,3,2,7,NA,44,2,NA,2,1,NA,3,8,5,3,5,1,1,3,1,1,880241,105.001,5.2,4.8,5,2.8,6,1.6,6,5.2,5,4,2.1666666666666665,3.7222222222222223,3.7777777777777777,4.111111111111111,0,1.7333333333333334,1.25,2,1.8571428571428572,3.2,-0.4,-0.8333333333333334,-0.7142857142857143,-0.6551724137931034,BLM,Democrat,Democrat
2020-06-24T12:25:38Z,2020-06-24T12:36:10Z,100,631,1,2020-06-24T12:36:10Z,1,3,7,6,1,1,7,7,7,1,1,4,7,6,1,7,1,1,1,7,1,7,4,6,1,7,1,1,1,6,1,6,3,1,4,7,2,7,7,7,1,6,6,7,6,7,7,1,1,1,1,1,3,4,5,4,6,7,1,3,1,1,1,1,1,1,1,0,0,92.46,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,-82,1,1,5,2,4,0,0,1,-1,-1,-1,1,1,1,1,1,0,0,1,-1,0,0,0,1,1,0,1,1,1,1,0,-1,0,1,4,2,1,1,3,7,NA,29,2,NA,4,1,NA,3,7,5,1,1,1,1,3,1,1,467175,92.46,6,7,6.2,1,6.2,1.2,5.8,1.2,6.5,1,5.166666666666667,4.222222222222222,2.5555555555555554,2.888888888888889,0.25,0.4,0,0,0.8571428571428571,2.6,-0.5,-0.16666666666666666,0,-0.2413793103448276,BLM,Democrat,Democrat
